"","x"
"1",0.916
"2",0.876
"3",0.892
"4",0.792
"5",0.776
"6",0.772
"7",0.828
"8",0.732
"9",0.672
"10",0.616
"11",0.576
"12",0.524
"13",0.528
"14",0.456
"15",0.42
"16",0.472
"17",0.46
"18",0.44
"19",0.392
"20",0.32
"21",0.344
"22",0.372
"23",0.24
"24",0.26
"25",0.252
"26",0.236
"27",0.244
"28",0.236
"29",0.224
"30",0.176
"31",0.216
"32",0.168
"33",0.16
"34",0.132
"35",0.112
"36",0.116
"37",0.08
"38",0.088
"39",0.116
"40",0.088
"41",0.084
"42",0.068
"43",0.036
"44",0.08
"45",0.056
"46",0.068
"47",0.092
"48",0.056
"49",0.052
"50",0.04
